,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
1,54,28,.659,3.0,115.2,110.9,4.37,1999,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1999,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1999,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1999,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1999,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1999,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1999,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1999,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1999,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1999,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1999,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1999,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1999,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1999,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1999,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1999,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1999,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1999,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1999,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1999,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1999,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1999,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1999,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1999,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1999,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1999,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1999,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1999,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1999,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1999,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,1999,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,1999,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,1999,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2000,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2000,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2000,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2000,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2000,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2000,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2000,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2000,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2000,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2000,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2000,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2000,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2000,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2000,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2000,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2000,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2000,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2000,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2000,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2000,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2000,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2000,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2000,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2000,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2000,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2000,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2000,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2000,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2000,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2000,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2000,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2000,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2000,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2000,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2000,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2001,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2001,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2001,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2001,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2001,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2001,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2001,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2001,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2001,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2001,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2001,Detroit Pistons
